team_id,name,rank,points_awarded,probability
33c5dddd-470e-4bbf-888a-41de5eba7f59,Wales,1.0,2,0.00025526483726866624
33c5dddd-470e-4bbf-888a-41de5eba7f59,Wales,2.0,15,0.0019144862795149968
33c5dddd-470e-4bbf-888a-41de5eba7f59,Wales,3.0,74,0.009444798978940652
33c5dddd-470e-4bbf-888a-41de5eba7f59,Wales,4.0,330,0.042118698149329926
33c5dddd-470e-4bbf-888a-41de5eba7f59,Wales,5.0,2628,0.33541799617102747
33c5dddd-470e-4bbf-888a-41de5eba7f59,Wales,6.0,4787,0.6109763880025526
f9413c17-aeb0-4739-b9ba-b9bf52991c68,England,1.0,1393,0.17779195915762605
f9413c17-aeb0-4739-b9ba-b9bf52991c68,England,2.0,2095,0.2673899170389279
f9413c17-aeb0-4739-b9ba-b9bf52991c68,England,3.0,2482,0.31678366305041483
f9413c17-aeb0-4739-b9ba-b9bf52991c68,England,4.0,1553,0.19821314613911933
f9413c17-aeb0-4739-b9ba-b9bf52991c68,England,5.0,270,0.03446075303126994
f9413c17-aeb0-4739-b9ba-b9bf52991c68,England,6.0,43,0.005488194001276325
7d3aef5a-7793-46ba-89b7-cbddf6fe12eb,France,1.0,2385,0.3044033184428845
7d3aef5a-7793-46ba-89b7-cbddf6fe12eb,France,2.0,2438,0.3111678366305041
7d3aef5a-7793-46ba-89b7-cbddf6fe12eb,France,3.0,1884,0.2404594767070836
7d3aef5a-7793-46ba-89b7-cbddf6fe12eb,France,4.0,940,0.11997447351627313
7d3aef5a-7793-46ba-89b7-cbddf6fe12eb,France,5.0,172,0.0219527760051053
7d3aef5a-7793-46ba-89b7-cbddf6fe12eb,France,6.0,17,0.002169751116783663
ee8f8374-1c04-4276-ab75-4bafc7441912,Ireland,1.0,3517,0.4488832163369496
ee8f8374-1c04-4276-ab75-4bafc7441912,Ireland,2.0,2169,0.2768347160178685
ee8f8374-1c04-4276-ab75-4bafc7441912,Ireland,3.0,1312,0.16745373324824506
ee8f8374-1c04-4276-ab75-4bafc7441912,Ireland,4.0,717,0.09151244416081684
ee8f8374-1c04-4276-ab75-4bafc7441912,Ireland,5.0,107,0.013656668793873644
ee8f8374-1c04-4276-ab75-4bafc7441912,Ireland,6.0,14,0.0017868538608806638
1f4f7424-1bc0-4aed-adc2-6ccfab40fbae,Italy,1.0,14,0.0017868538608806638
1f4f7424-1bc0-4aed-adc2-6ccfab40fbae,Italy,2.0,44,0.0056158264199106574
1f4f7424-1bc0-4aed-adc2-6ccfab40fbae,Italy,3.0,172,0.0219527760051053
1f4f7424-1bc0-4aed-adc2-6ccfab40fbae,Italy,4.0,777,0.09917038927887684
1f4f7424-1bc0-4aed-adc2-6ccfab40fbae,Italy,5.0,3964,0.5059349074664965
1f4f7424-1bc0-4aed-adc2-6ccfab40fbae,Italy,6.0,2865,0.36566687938736436
cfe6acd2-6656-4c02-bfae-28bd6f368cfc,Scotland,1.0,525,0.06700701978302488
cfe6acd2-6656-4c02-bfae-28bd6f368cfc,Scotland,2.0,1075,0.1372048500319081
cfe6acd2-6656-4c02-bfae-28bd6f368cfc,Scotland,3.0,1912,0.24403318442884492
cfe6acd2-6656-4c02-bfae-28bd6f368cfc,Scotland,4.0,3519,0.44913848117421823
cfe6acd2-6656-4c02-bfae-28bd6f368cfc,Scotland,5.0,695,0.08870453095086152
cfe6acd2-6656-4c02-bfae-28bd6f368cfc,Scotland,6.0,110,0.014039566049776643
